Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,Latitude,Longitude,Outras informacoes da localidade,Jurisdicao,Destino do Material
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,E.D. Lozano,RB01034852,2235,10/12/2013,NA,30/10/2017,Chamaecrista incana,NA,Chamaecrista incana (Vogel) H.S.Irwin & Barneby,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista incana,Espécie não Ameaçada,NA,"Rodovia BR-277, Campo em frente a concessionária Valtra-Shark.",Brasil,Paraná,Guarapuava,Espécie não Sensível,-25.3830556,-51.5111111,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Schulte, T. F.",RB01357838,305,09/03/2016,NA,30/10/2017,Tridax procumbens,NA,Tridax procumbens L.,species,NA,NA,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tridax,Tridax procumbens,Espécie não Ameaçada,NA,Conglomerado BA__E-1-1-HE,Brasil,Bahia,Itanagra,Espécie não Sensível,-12.2630556,-38.0416666,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R.G.Barbosa-Silva,RB00821048,119,08/08/2013,NA,30/10/2017,Peperomia tetraphylla,NA,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,species,NA,NA,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,Peperomia tetraphylla,Espécie não Ameaçada,NA,"Córrego do Jardim. Floresta de Pseudobombax, Nyctaginaceae, bromélias e aráceas, com tapete de musgos, sobre afloramento rochoso.",Brasil,Espírito Santo,Mimoso do Sul,Espécie não Sensível,-20.9386111,-41.5444444,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R. P. Lyra-Lemos,RB00534750,5116,14/11/2000,NA,30/10/2017,Oxalis,NA,Oxalis psoraleoides ssp. insipida (A.St.-Hil.) Lourteig,genus,NA,NA,Magnoliophyta,Magnoliopsida,Geraniales,Oxalidaceae,Oxalis,NA,Espécie Ameaçada,Criticamente em Perigo,"Serra das Mãos, próximo à Vila Campestre e ao riacho Ribeira.",Brasil,Alagoas,Jaramataia,Espécie não Sensível,-9.6783334,-36.9844444,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,S.A. Mori,RB00636898,NA,25/07/1979,NA,30/10/2017,Xyris mucujensis,NA,Xyris mucujensis Kral & L.B.Sm.,species,NA,NA,Magnoliophyta,Liliopsida,Poales,Xyridaceae,Xyris,Xyris mucujensis,Espécie não Ameaçada,NA,"3km ao S de Mucugê, na estrada para Jussiape.",Brasil,Bahia,Mucugê,Espécie não Sensível,-13,-41.4,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Lourdes Maria Abdu El-Moor Loureiro,43135,"Nº Da Autorização/Licença Sisbio: 18824, Projeto: Biodiversidade Em Áreas Úmidas Preservadas Do Cerrado Do Brasil Central: Bacias Do Paranoá E Rio Preto",31/05/2009,01/06/2009 a 29/08/2009,19/12/2014,Groenbladia,NA,Groenbladia,genus,1500,NA,Chlorophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Groenbladia,NA,Espécie não Ameaçada,NA,Parque Nacional De Brasília,Brasil,DF,Brasilia,Espécie não Sensível,-15.733889,-47.928611,NA,NA,Destinado a laboratório
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Gláucia Moreira Drummond,604662,"Nº Da Autorização/Licença Sisbio: 19989, Projeto: Planos De Manejo Dos Parques Nacionais Do Pau Brasil E Do Descobrimento, Bahia",14/10/2009,15/10/2009 a 15/10/2009,22/02/2017,Byrsonima crispa,NA,Byrsonima crispa,species,1,NA,Magnoliophyta,Magnoliopsida,Polygalales,Malpighiaceae,Byrsonima,Byrsonima crispa,Espécie não Ameaçada,NA,Parque Nacional Do Pau Brasil,Brasil,BA,NA,Espécie não Sensível,-16.504,-39.255,Coordenada de referência da área amostrada,NA,Depositado em coleção/museu
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J. A. Ratter,RB00525311,2001,26/06/1968,NA,30/10/2017,Paspalum multicaule,NA,Paspalum multicaule Poir.,species,NA,NA,Magnoliophyta,Liliopsida,Poales,Poaceae,Paspalum,Paspalum multicaule,Espécie não Ameaçada,NA,"Base Camp of the Expedition, ca. 270 km N of Xavantina on the Xavantina - São Félix road.",Brasil,Mato Grosso,NA,Espécie não Sensível,-12.9,-51.8666667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Oliveira, J.A.",RB00780705,344,19/04/2013,NA,30/10/2017,Solanum megalochiton,NA,Solanum megalochiton Mart.,species,NA,NA,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum megalochiton,Espécie não Ameaçada,NA,"Localidade de Alto Liberdade. Pedra do Cruzeiro, Floresta alterada ao longo da escadaria para o topo do inselbergue.",Brasil,Espírito Santo,Marilândia,Espécie não Sensível,-19.3513889,-40.5480555,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,D.C. Zappi,RB00604869,2606,24/11/2009,NA,30/10/2017,Leiothrix curvifolia,NA,Leiothrix curvifolia (Bong.) Ruhland,species,NA,NA,Magnoliophyta,Liliopsida,Poales,Eriocaulaceae,Leiothrix,Leiothrix curvifolia,Espécie não Ameaçada,NA,"Serra do Cipó, Capela de São José, Trilha da Senhorinha, caminho a Congonhas do Norte.",Brasil,Minas Gerais,Santana de Pirapama,Espécie não Sensível,-18.9625,-43.7419444,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,M. Verdi,RB01138574,1289,10/11/2008,NA,30/10/2017,Chrysophyllum inornatum,NA,Chrysophyllum inornatum Mart.,species,NA,NA,Magnoliophyta,Magnoliopsida,Ericales,Sapotaceae,Chrysophyllum,Chrysophyllum inornatum,Espécie não Ameaçada,NA,Corruchel.,Brasil,Santa Catarina,Pouso Redondo,Espécie não Sensível,-27.3344444,-49.9422222,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R. M. Harley,RB00164077,20071,27/03/1977,NA,30/10/2017,Mimosa paludosa,NA,Mimosa paludosa Benth.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Mimosa,Mimosa paludosa,Espécie não Ameaçada,NA,"Between 2,5 and 5km S. of the Vila do Rio de Contas on side road to W. of the road to livramento, leading to the Rio Brumado.",Brasil,Bahia,NA,Espécie não Sensível,-13.6,-41.8333333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Kyle G. Dexter,RB01017117,7153,13/08/2014,NA,30/10/2017,Plantae,NA,Senegalia visco (Lorentz ex Griseb.) Seigler & Ebinger,kingdom,NA,NA,NA,NA,NA,NA,NA,NA,Espécie não Ameaçada,NA,~2km E of El Trigal on dirt track off road to Vallegrande.,Bolívia,Santa Cruz,NA,Espécie não Sensível,-18.3055556,-64.1319445,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Thiago De Azevedo Amorim,909060,"Nº Da Autorização/Licença Sisbio: 38652, Projeto: Influência Do Rio Campo Belo E Do Relevo Sobre A Estrutura E Composição Da Flora Arbórea Em Um Trecho Da Floresta Ombrófila Densa Montana No Parque Nacional Do Itatiaia-Rj.",25/11/2014,26/11/2014 a 26/11/2014,01/03/2016,Myrsine,NA,Myrsine umbellata,genus,3,NA,Magnoliophyta,Magnoliopsida,Primulales,Myrsinaceae,Myrsine,NA,Espécie Ameaçada,Em Perigo,Parque Nacional De Itatiaia,Brasil,RJ,NA,Espécie não Sensível,-22.456917,-44.609611,Coordenada de referência da área amostrada,NA,Depositado em banco de amostras biológicas
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,V.F. Mansano,RB00521071,447,10/12/2007,NA,30/10/2017,Swartzia simplex,NA,Swartzia simplex var. continentalis Urb.,species,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Swartzia,Swartzia simplex,Espécie não Ameaçada,NA,"Cachoeira do Mochafongo, Sítio Mochafongo. Arbusto 5m, tronco castanho-escuro, beira da cachoeira, solo rochoso, local com alta incidência de sol.",Brasil,Espírito Santo,Santa Leopoldina,Espécie não Sensível,-20.2425,-42.0197223,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Zappi, D.C.",RB00622100,3309,11/03/2011,NA,30/10/2017,Tephrosia,NA,Tephrosia,genus,NA,NA,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Tephrosia,NA,Espécie não Ameaçada,NA,"Fazenda Santa Filipina, a 20-40 km da Faz. Najá, zona de amortecimento do Parque Estadual do Xingu.",Brasil,Mato Grosso,São José do Xingu,Espécie não Sensível,-9.8497222,-52.4047222,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R.M.Harley,RB00467865,18618,12/02/1977,NA,30/10/2017,Solanum stenandrum,NA,Solanum stenandrum Sendtn.,species,NA,NA,Magnoliophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum stenandrum,Espécie não Ameaçada,NA,"8 km South of Andarai on road to mucugê by bridge over small river, just North of turning to Itaeté.",Brasil,Bahia,NA,Espécie não Sensível,-51,-41.3166667,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,R.M.Harley,RB00238744,22893,30/05/1980,NA,30/10/2017,Marcetia latifolia,NA,Marcetia latifolia Naudin,species,NA,NA,Magnoliophyta,Magnoliopsida,Myrtales,Melastomataceae,Marcetia,Marcetia latifolia,Espécie não Ameaçada,NA,"Rio do Ferro Doido, 19,5 km S.E. of Morro do Chapéu on the BA 052 highway to Mundo Novo, with water-worn.",Brasil,Piauí,Morro do Chapéu do Piauí,Espécie não Sensível,-11.6333333,-41.0333333,NA,NA,NA
NA,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,E. P. Queiroz,RB00574427,2305,24/08/2007,NA,30/10/2017,Clusia nemorosa,NA,Clusia nemorosa G.Mey.,species,NA,NA,Magnoliophyta,Magnoliopsida,Theales,Clusiaceae,Clusia,Clusia nemorosa,Espécie não Ameaçada,NA,"Itapuama, engenho Camaçari.",Brasil,Pernambuco,Cabo de Santo Agostinho,Espécie não Sensível,-8.28,-34.9541667,NA,NA,NA
NA,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Lúcia Helena De Oliveira Wadt,458788,"Nº Da Autorização/Licença Sisbio: 37946, Projeto: Padrão De Produção E Crescimento De Castanha-Do-Brasil (Bertholletia Excelsa Bonpl.) Em Floresta Natural",31/03/2013,01/04/2013 a 30/06/2013,12/06/2017,Bertholletia excelsa,NA,Bertholletia excelsa,species,1,NA,Magnoliophyta,Magnoliopsida,Lecythidales,Lecythidaceae,Bertholletia,Bertholletia excelsa,Espécie Ameaçada,Vulnerável,Reserva Extrativista Chico Mendes,Brasil,AC,NA,Espécie não Sensível,-10.855507,-68.700395,Coordenada exata da ocorrência,NA,Descartado
