database_id,scientificName,decimalLatitude,decimalLongitude,occurrenceID,verbatimEventDate,country,stateProvince,county,locality,coordinatePrecision,basisOfRecord,identifiedBy,coordinateUncertaintyInMeters,recordedBy
AT_EPIPHYTES_1,Tillandsia tenuifolia,-25.521863,-51.416667,E8802,2003,Brazil,PARANA,GUARAPUAVA,Rio Sao Jeronimo,Forest fragment,NA,NA,NA,NA
AT_EPIPHYTES_2,Peperomia obtusifolia,-14.65972,-39.14972,635992,2015,Brazil,BAHIA,ILHEUS,NA,Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_3,Tillandsia recurvata,-21.746667,-43.354722,E1617,2016,Brazil,MATO GROSSO DO SUL,JUIZ DE FORA,Praca Mariano Procopio,50,NA,NA,NA,NA
AT_EPIPHYTES_4,Vriesea flammea,-23.35,-44.858333,E0272,2011,Brazil,SAO PAULO,UBATUBA,Parque Estadual da Serra do Mar-Nucleo Picinguaba,Forest fragment,NA,NA,NA,NA
AT_EPIPHYTES_5,Lankesterella ceracifolia,-28.1667,-49.4,17541,2009,Brazil,SANTA CATARINA,ORLEANS,Rio Minador,Municipality,NA,NA,NA,NA
AT_EPIPHYTES_6,Vriesea psittacina,-15.133333,-38.333333,E32704,NA,Brazil,BAHIA,UNA,"Serra Javi. 9Km ao S Sao Jose -Km 550-; 5.5Km a E BR-101, p/ Faz. Cascavel.",Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_7,Nidularium innocentii,-26.1833,-49.0333,20521,2009,Brazil,SANTA CATARINA,JOINVILLE,Serra Dona Francisca,Municipality,NA,NA,NA,NA
AT_EPIPHYTES_8,Acianthera serpentula,-25.5839,-49.6356,E23503,NA,Brazil,PARANA,BALSA NOVA,Base da Serra de Sao Luiz do Puruna,Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_9,Peperomia quadrifolia,-26.46,-49.41,E18657,NA,Brazil,SANTA CATARINA,CORUPA,Palmeiras II,Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_10,Peperomia circinnata,-23.7869,-54.2836,E16998,NA,Brazil,MATO GROSSO DO SUL,ELDORADO,NA,Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_11,Microgramma squamulosa,-25.666271,-49.269229,E7552,2017,Brazil,PARANA,FAZENDA RIO GRANDE,Fazenda Experimental Gralha Azul 2,Forest fragment,NA,NA,NA,NA
AT_EPIPHYTES_12,Vriesea gigantea,-29.6411,-50.4525,E0829,NA,Brazil,RIO GRANDE DO SUL,RIOZINHO,NA,Municipality,NA,NA,NA,NA
AT_EPIPHYTES_13,Aechmea leptantha,-8.0022,-35.0183,E1518,NA,Brazil,PERNAMBUCO,SAO LOURENCO DA MATA,Sao Bento,Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_14,Vriesea tijucana,-15.158634,-39.057151,359,2000,Brazil,BAHIA,UNA,Reserva Biologica de Una,20,NA,NA,NA,NA
AT_EPIPHYTES_15,Rhodospatha oblongata,-14.49,-39.1,E25916,NA,Brazil,BAHIA,URUCUCA,"Mun>. Urucuca, 9.4 KM. Serra do Conduru vertente E.",Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_16,Anthurium gaudichaudianum,-29.342087,-49.68663,E0057,1992,Brazil,RIO GRANDE DO SUL,TORRES,Torres,Forest fragment,NA,NA,NA,NA
AT_EPIPHYTES_17,Maxillaria caparaoensis,-20.4333,-41.8683,E11997,NA,Brazil,MATO GROSSO DO SUL,ALTO CAPARAO,Serra do Caparao.,Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_18,Acianthera langeana,-28.47165,-49.981568,E2724,2014,Brazil,RIO GRANDE DO SUL,SAO JOSE DOS AUSENTES,Rio Pelotas,Forest fragment,NA,NA,NA,NA
AT_EPIPHYTES_19,Pleopeltis monoides,-22.43083,-42.74306,540781,2010,Brazil,RIO DE JANEIRO,CACHOEIRAS DE MACACU,NA,Coordinates given in the herbarium record,NA,NA,NA,NA
AT_EPIPHYTES_20,Hymenophyllum fragile,-25.05,-49.8,444521,2003,Brazil,PARANA,CASTRO,NA,Coordinates given in the herbarium record,NA,NA,NA,NA
BIEN_1,Solanum paniculatum,-7.135306,-38.601472,786,2010-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_2,Tetrapterys crispa,-0.95,-49.8,1758,1987-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_3,Clusia microstemon,0.283333,-68.466667,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_4,NA,-9.272222,-64.482778,2756,2011-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_5,Machaerium fulvovenosum,-20.848889,-41.1125,1307,2008-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_6,NA,-20.026667,-40.492222,3510,2007-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_7,Byrsonima sericea,-15.181944,-45.769722,3012,1997-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_8,Euphorbia appariciana,NA,NA,971,1996-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_9,Cordia nodosa,-9.95,-57.1,2979,1985-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_10,Dorstenia turnerifolia,-15.158056,-39.528611,2724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_11,Phoradendron crassifolium,-23.62028,-45.40972,104,1961-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_12,Pagamea plicata,-10.605278,-46.285,3801,2007-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_13,NA,-11.688333,-49.361111,3527,2012-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_14,Galactia striata,-22.4947,-48.5581,1365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_15,Achyrocline alata,-20.448028,-52.906222,2258,2005-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_16,Coccocypselum lanceolatum,-10.8339,-52.8731,3567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_17,NA,-21.849722,-46.720278,3527,1994-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_18,Oldenlandia filicaulis,-14.266667,-42.526111,2756,2006-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_19,Bauhinia brevipes,-12.871667,-46.97,1928,2009-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIEN_20,Paspalum guttatum,-11.688056,-47.7025,3120,2014-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRYFLOR_1,Miconia minutiflora (Bonpl.) DC.,-20.844999313354,-44.91609954834,NA,NA,Brazil,NA,NA,"Santo Antônio do Amparo, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_2,Zanthoxylum rhoifolium Lam.,-8.1581001281738,-35.753898620605,NA,NA,Brazil,NA,NA,"Bezerros, floresta semidecidual de brejo",NA,NA,NA,NA,NA
DRYFLOR_3,Ocotea velutina (Nees) Rohwer,-21.132499694824,-44.709400177002,NA,NA,Brazil,NA,NA,"Ibituruna, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_4,Sweetia fruticosa Spreng.,-18.089000701904,-45.182998657227,NA,NA,Brazil,NA,NA,"Três Marias, floresta decidual",NA,NA,NA,NA,NA
DRYFLOR_5,Bauhinia cheilantha (Bong.) Steud.,-15.003100395203,-43.900299072266,NA,NA,Brazil,NA,NA,"Matias Cardoso, Cajueiro, caatinga arbórea",NA,NA,NA,NA,NA
DRYFLOR_6,Senna pendula (Willd.) H.S.Irwin & Barneby,-21.568899154663,-50.739700317383,NA,NA,Brazil,NA,NA,"Salmourão, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_7,Cecropia hololeuca Miq.,-17.83219909668,-40.280799865723,NA,NA,Brazil,NA,NA,"Nanuque, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_8,Cordia glabrata (Mart.) A.DC.,-14.982199668884,-43.52140045166,NA,NA,Brazil,NA,NA,"Matias Cardoso, Gado Bravo, caatinga arbórea",NA,NA,NA,NA,NA
DRYFLOR_9,Cynophalla flexuosa (L.) J.Presl,-22.783100128174,-53.530300140381,NA,NA,Brazil,NA,NA,"Anaurilândia, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_10,Manihot caerulescens Pohl,-10.185799598694,-40.259201049805,NA,NA,Brazil,NA,NA,"Jaguarari, floresta areno-rupícola",NA,NA,NA,NA,NA
DRYFLOR_11,Vitex polygama Cham.,-14.285300254822,-44.111099243164,NA,NA,Brazil,NA,NA,"Juvenília, caatinga arbórea",NA,NA,NA,NA,NA
DRYFLOR_12,Trichilia pallens C.DC.,-22.807500839233,-51.379199981689,NA,NA,Brazil,NA,NA,"Primeiro de Maio, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_13,Myrcia tomentosa (Aubl.) DC.,-11.218299865723,-45.402801513672,NA,NA,Brazil,NA,NA,"Formosa do Rio Preto, caatinga arbórea",NA,NA,NA,NA,NA
DRYFLOR_14,Zanthoxylum riedelianum Engl.,-18.879400253296,-41.479698181152,NA,NA,Brazil,NA,NA,"São Geraldo do Baixio, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_15,Handroanthus serratifolius (Vahl) S.O.Grose,-17.93390083313,-44.568298339844,NA,NA,Brazil,NA,NA,"Lassance, floresta ripícola",NA,NA,NA,NA,NA
DRYFLOR_16,Croton floribundus Spreng.,-22.500799179077,-46.642799377441,NA,NA,Brazil,NA,NA,"Lindóia, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_17,Protium spruceanum (Benth.) Engl.,-21.155300140381,-45.472801208496,NA,NA,Brazil,NA,NA,"Coqueiral, floresta semidecidual",NA,NA,NA,NA,NA
DRYFLOR_18,Cestrum schlechtendalii G.Don,-14.148300170898,-47.531898498535,NA,NA,Brazil,NA,NA,"Ipameri, cerrado",NA,NA,NA,NA,NA
DRYFLOR_19,Salvertia convallariodora A.St.-Hil.,-5.3179998397827,-41.51900100708,NA,NA,Brazil,NA,NA,"Castelo do Piaui, cerradao mesotrofico",NA,NA,NA,NA,NA
DRYFLOR_20,Machaerium villosum Vogel,-15.964200019836,-47.94580078125,NA,NA,Brazil,NA,NA,"Fazenda Água Limpa, floresta ripícola",NA,NA,NA,NA,NA
GBIF_1,Iryanthera sagotiana Warb.,-10.8339,-52.8731,1228373235,NA,NA,NA,NA,NA,NA,PRESERVED_SPECIMEN,NA,NA,NA
GBIF_2,Callisia filiformis (M.Martens & Galeotti) D.R.Hunt,NA,NA,1978411156,2007-03-30T00:00:00Z,NA,Bahia,NA,Reserva Legal de Rodelas,NA,PRESERVED_SPECIMEN,"Barreto, R.",NA,"Oliveira, M.; Cavalcanti, A. & Pessoa, L."
GBIF_3,Margaritopsis cephalantha (Müll.Arg.) C.M.Taylor,NA,NA,1702828595,1975-01-17T00:00:00Z,NA,Espírito Santo,NA,"Mun. de Linhares, Reserva Florestal da Companhia Vale do Rio Doce, S.A. Mata de tabuleiro, so longo da picada 162",NA,PRESERVED_SPECIMEN,NA,NA,A. L. Peixoto & O. L. Peixoto
GBIF_4,Erythroxylum cuspidifolium Mart.,-13.936944,-39.424444,1944976406,2013-03-28T00:00:00Z,NA,Bahia,NA,"Fazenda Paineiras, BR 116, KM 390",NA,PRESERVED_SPECIMEN,Sem Informação,NA,T. Araújo
GBIF_5,Ocotea lanceolata Nees,-13.48333,-41.81667,439130715,1977-02-24T00:00:00Z,NA,Bahia,NA,NA,NA,PRESERVED_SPECIMEN,NA,NA,"Harley, R.M.|Santos, T.S.|Pinheiro, R.S.|Mayo, S.J.|Storr, R.M."
GBIF_6,Qualea cryptantha var. marginata (Miq.) Stafleu,NA,NA,1090419761,1979-12-23T00:00:00Z,NA,Bahia,NA,"Velha estrada entre Andaraí e Mucugê via Igatú, a 2Km ao S de Igatú.",NA,PRESERVED_SPECIMEN,M. Lisboa,NA,S. A. Mori
GBIF_7,Mollinedia clavigera Tul.,NA,NA,1853941450,2014-08-18T00:00:00Z,NA,Paraná,NA,Parque do Cinquentenário.,NA,PRESERVED_SPECIMEN,C.Miranda,NA,C.Miranda
GBIF_8,Acisanthera variabilis Triana,NA,NA,1089063026,1997-05-21T00:00:00Z,NA,Minas Gerais,NA,Estrada de acesso à Fazenda Hotel Serra das Bicas.,NA,PRESERVED_SPECIMEN,NA,NA,"Matsumoto, K; Faria, AD; Lopes, CA; Jannini, AW; Simões, AO; Singer, RB"
GBIF_9,Croton nepetifolius Baill.,-8.507242,-37.355059,1302836168,NA,NA,NA,NA,catimbau,NA,HUMAN_OBSERVATION,NA,NA,NA
GBIF_10,Pontederia lanceolata Nutt.,NA,NA,1095416254,NA,NA,Santa Catarina,NA,Encruzilhada,NA,PRESERVED_SPECIMEN,"Castellanos, A.",NA,"Klein, R."
GBIF_11,Dalechampia stipulacea Müll.Arg.,-23.0297,-46.9753,1090557438,1994-11-23T00:00:00Z,NA,São Paulo,NA,NA,NA,PRESERVED_SPECIMEN,R.A. Pereira-Silva,NA,S.L. Jung-Mendaçolli; C.A.F. Pinto-Maglio; P.R.P. Andrade & A.M.C. Silva
GBIF_12,Handroanthus albus (Cham.) Mattos,NA,NA,1316181641,1978-07-05T00:00:00Z,NA,São Paulo,NA,Pedra Grande,NA,PRESERVED_SPECIMEN,"Semir, J",NA,"Taroda, N"
GBIF_13,Daphnopsis sellowiana Taub.,NA,NA,1143421447,2013-07-21T00:00:00Z,NA,Paraná,NA,NA,NA,PRESERVED_SPECIMEN,"Barboza, E",NA,"Engels, M.E."
GBIF_14,Hillia parasitica Jacq.,-13.07,-41.37,912236353,2002-02-15T00:00:00Z,NA,NA,NA,"Bahia, Mucage: Serra do Gobira. Mata do Grotao no alto do Gobira.",NA,PRESERVED_SPECIMEN,NA,NA,"Harley, R. M. et al."
GBIF_15,Phyllanthus L.,NA,NA,1087021229,1967-04-14T00:00:00Z,NA,Amazonas,NA,NA,NA,PRESERVED_SPECIMEN,NA,NA,"Rodrigues, W. ; Coelho,N."
GBIF_16,"Chresta pacourinoides (Mart. ex DC.) Loeuille, Siniscalchi & Pirani",-5.640583,-42.608306,1090954960,2000-05-16T00:00:00Z,NA,Piauí,NA,Fazenda Saquinho,NA,PRESERVED_SPECIMEN,B. Leonille,NA,R. Barros; R.R. Farias
GBIF_17,Mollinedia schottiana Perkins,NA,NA,1095482579,1989-10-19T00:00:00Z,NA,Paraná,NA,"Estrada da Graciosa, próximo a Grota Funda",NA,PRESERVED_SPECIMEN,"Peixoto, A.L.",NA,"Hatschbach, G.; Nicolack, V.; Nicolack, V."
GBIF_18,Physalis neesiana Sendtn.,NA,NA,1042546681,NA,NA,Paraná,NA,Arredore. Clareiras da mata.,NA,PRESERVED_SPECIMEN,"Hatschbach, G.G.",NA,Mike Hopkins
GBIF_19,Ternstroemia carnosa Cambess.,NA,NA,1090420023,1979-12-22T00:00:00Z,NA,Bahia,NA,"A 3Km ao S de Mucugê, na estrada que vai para Jussiape.",NA,PRESERVED_SPECIMEN,W. São Mateus,NA,S. A. Mori
GBIF_20,Serjania laruotteana Cambess.,NA,NA,188385220,2002-03-17T00:00:00Z,NA,Rio Grande do Sul,NA,Sao Francisco de Paula. Estrada,NA,PRESERVED_SPECIMEN,P.Acevedo,NA,R.Wasum
ICMBIO_1,Chamaecrista incana (Vogel) H.S.Irwin & Barneby,-25.3830556,-51.5111111,RB01034852,10/12/2013,Brasil,Paraná,Guarapuava,"Rodovia BR-277, Campo em frente a concessionária Valtra-Shark.",NA,NA,NA,NA,NA
ICMBIO_2,Tridax procumbens L.,-12.2630556,-38.0416666,RB01357838,09/03/2016,Brasil,Bahia,Itanagra,Conglomerado BA__E-1-1-HE,NA,NA,NA,NA,NA
ICMBIO_3,Peperomia tetraphylla (G.Forst.) Hook. & Arn.,-20.9386111,-41.5444444,RB00821048,08/08/2013,Brasil,Espírito Santo,Mimoso do Sul,"Córrego do Jardim. Floresta de Pseudobombax, Nyctaginaceae, bromélias e aráceas, com tapete de musgos, sobre afloramento rochoso.",NA,NA,NA,NA,NA
ICMBIO_4,Oxalis psoraleoides ssp. insipida (A.St.-Hil.) Lourteig,-9.6783334,-36.9844444,RB00534750,14/11/2000,Brasil,Alagoas,Jaramataia,"Serra das Mãos, próximo à Vila Campestre e ao riacho Ribeira.",NA,NA,NA,NA,NA
ICMBIO_5,Xyris mucujensis Kral & L.B.Sm.,-13,-41.4,RB00636898,25/07/1979,Brasil,Bahia,Mucugê,"3km ao S de Mucugê, na estrada para Jussiape.",NA,NA,NA,NA,NA
ICMBIO_6,Groenbladia,-15.733889,-47.928611,43135,31/05/2009,Brasil,DF,Brasilia,Parque Nacional De Brasília,NA,NA,NA,NA,NA
ICMBIO_7,Byrsonima crispa,-16.504,-39.255,604662,14/10/2009,Brasil,BA,NA,Parque Nacional Do Pau Brasil,NA,NA,NA,NA,NA
ICMBIO_8,Paspalum multicaule Poir.,-12.9,-51.8666667,RB00525311,26/06/1968,Brasil,Mato Grosso,NA,"Base Camp of the Expedition, ca. 270 km N of Xavantina on the Xavantina - São Félix road.",NA,NA,NA,NA,NA
ICMBIO_9,Solanum megalochiton Mart.,-19.3513889,-40.5480555,RB00780705,19/04/2013,Brasil,Espírito Santo,Marilândia,"Localidade de Alto Liberdade. Pedra do Cruzeiro, Floresta alterada ao longo da escadaria para o topo do inselbergue.",NA,NA,NA,NA,NA
ICMBIO_10,Leiothrix curvifolia (Bong.) Ruhland,-18.9625,-43.7419444,RB00604869,24/11/2009,Brasil,Minas Gerais,Santana de Pirapama,"Serra do Cipó, Capela de São José, Trilha da Senhorinha, caminho a Congonhas do Norte.",NA,NA,NA,NA,NA
ICMBIO_11,Chrysophyllum inornatum Mart.,-27.3344444,-49.9422222,RB01138574,10/11/2008,Brasil,Santa Catarina,Pouso Redondo,Corruchel.,NA,NA,NA,NA,NA
ICMBIO_12,Mimosa paludosa Benth.,-13.6,-41.8333333,RB00164077,27/03/1977,Brasil,Bahia,NA,"Between 2,5 and 5km S. of the Vila do Rio de Contas on side road to W. of the road to livramento, leading to the Rio Brumado.",NA,NA,NA,NA,NA
ICMBIO_13,Senegalia visco (Lorentz ex Griseb.) Seigler & Ebinger,-18.3055556,-64.1319445,RB01017117,13/08/2014,Bolívia,Santa Cruz,NA,~2km E of El Trigal on dirt track off road to Vallegrande.,NA,NA,NA,NA,NA
ICMBIO_14,Myrsine umbellata,-22.456917,-44.609611,909060,25/11/2014,Brasil,RJ,NA,Parque Nacional De Itatiaia,NA,NA,NA,NA,NA
