original_search,suggested_name,distance,notes,taxonID,scientificName,taxonRank,taxonomicStatus,acceptedNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,parentNameUsageID,originalNameUsageID,scientificNameAuthorship,vernacularName
Tillandsia tenuifolia,NA,NA,accepted,GBIF:2695114,Tillandsia tenuifolia,species,accepted,GBIF:2695114,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,tenuifolia,NA,8279994,NA,L.,narrowleaf airplant
Peperomia obtusifolia,NA,NA,accepted,GBIF:3086423,Peperomia obtusifolia,species,accepted,GBIF:3086423,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,obtusifolia,NA,3086367,3086426,A.Dietr. (L.),pepper face
Tillandsia recurvata,NA,NA,accepted,GBIF:2695588,Tillandsia recurvata,species,accepted,GBIF:2695588,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Tillandsia,recurvata,NA,8279994,5287808,L. (L.),Tillandsia recta o heno pequeno
Vriesea flammea,NA,NA,accepted,GBIF:5289378,Vriesea flammea,species,accepted,GBIF:5289378,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,flammea,NA,2699764,NA,L.B.Sm.,NA
Lankesterella ceracifolia,NA,NA,accepted,GBIF:5312267,Lankesterella ceracifolia,species,accepted,GBIF:5312267,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Lankesterella,ceracifolia,NA,2807134,2807162,Mansf. (Barb.Rodr.),NA
Nidularium innocentii,NA,NA,accepted,GBIF:2697762,Nidularium innocentii,species,accepted,GBIF:2697762,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Nidularium,innocentii,NA,2697636,NA,Lem.,purpurvattensamlare
Acianthera serpentula,NA,NA,accepted,GBIF:2839474,Acianthera serpentula,species,accepted,GBIF:2839474,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,serpentula,NA,7848554,2839476,F.Barros (Barb.Rodr.),NA
Peperomia quadrifolia,NA,NA,accepted,GBIF:3086416,Peperomia quadrifolia,species,accepted,GBIF:3086416,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,quadrifolia,NA,3086367,3086417,Kunth (L.),fourleaf peperomia
Peperomia circinnata,NA,NA,accepted,GBIF:7304921,Peperomia circinnata,species,accepted,GBIF:7304921,Plantae,Tracheophyta,Magnoliopsida,Piperales,Piperaceae,Peperomia,circinnata,NA,3086367,NA,Link,NA
Microgramma squamulosa,NA,NA,accepted,GBIF:4025976,Microgramma squamulosa,species,accepted,GBIF:4025976,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Microgramma,squamulosa,NA,8393217,7290190,de la Sota (Kaulf.),NA
Vriesea gigantea,NA,NA,accepted,GBIF:5288894,Vriesea gigantea,species,accepted,GBIF:5288894,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,gigantea,NA,2699764,NA,Gaudich.,jattevriesea
Aechmea leptantha,NA,NA,accepted,GBIF:2698687,Aechmea leptantha,species,accepted,GBIF:2698687,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Aechmea,leptantha,NA,2697812,2698688,Leme & J.A.Siqueira (Harms),NA
Vriesea tijucana,NA,NA,accepted,GBIF:5288897,Vriesea tijucana,species,accepted,GBIF:5288897,Plantae,Tracheophyta,Liliopsida,Poales,Bromeliaceae,Vriesea,tijucana,NA,2699764,NA,E.Pereira,NA
Rhodospatha oblongata,NA,NA,accepted,GBIF:2871981,Rhodospatha oblongata,species,accepted,GBIF:2871981,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Rhodospatha,oblongata,NA,2871974,NA,Poepp.,NA
Anthurium gaudichaudianum,NA,NA,accepted,GBIF:2872740,Anthurium gaudichaudianum,species,accepted,GBIF:2872740,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Anthurium,gaudichaudianum,NA,2872218,NA,Kunth,NA
Maxillaria caparaoensis,NA,NA,accepted,GBIF:5318538,Maxillaria caparaoensis,species,accepted,GBIF:5318538,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Maxillaria,caparaoensis,NA,2825779,NA,Brade,NA
Acianthera langeana,NA,NA,accepted,GBIF:2840033,Acianthera langeana,species,accepted,GBIF:2840033,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthera,langeana,NA,7848554,2840034,Pridgeon & M.W.Chase (Kraenzl.),NA
Pleopeltis monoides,NA,NA,accepted,GBIF:7495967,Pleopeltis monoides,species,accepted,GBIF:7495967,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Pleopeltis,monoides,NA,2650485,5649333,Salino (Weath.),NA
Hymenophyllum fragile,NA,NA,accepted,GBIF:2651313,Hymenophyllum fragile,species,accepted,GBIF:2651313,Plantae,Tracheophyta,Polypodiopsida,Hymenophyllales,Hymenophyllaceae,Hymenophyllum,fragile,NA,2651287,5533060,Morton (Hedw.),fragile filmy fern
Solanum paniculatum,NA,NA,accepted,GBIF:2932547,Solanum paniculatum,species,accepted,GBIF:2932547,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,paniculatum,NA,2928997,NA,L.,jurubeba
Tetrapterys crispa,NA,NA,accepted,GBIF:7285570,Tetrapterys crispa,species,accepted,GBIF:7285570,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Tetrapterys,crispa,NA,3191303,NA,A.Juss.,NA
Clusia microstemon,NA,NA,accepted,GBIF:5556257,Clusia microstemon,species,accepted,GBIF:5556257,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Clusia,microstemon,NA,3189424,NA,Planch. & Triana,NA
Machaerium fulvovenosum,NA,NA,accepted,GBIF:5355056,Machaerium fulvovenosum,species,accepted,GBIF:5355056,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Machaerium,fulvovenosum,NA,2959589,NA,H.C.Lima,jacaranda tan
Byrsonima sericea,NA,NA,accepted,GBIF:7285418,Byrsonima sericea,species,accepted,GBIF:7285418,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Byrsonima,sericea,NA,3191347,NA,DC.,NA
Cordia nodosa,NA,NA,accepted,GBIF:7295069,Cordia nodosa,species,accepted,GBIF:7295069,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,nodosa,NA,2900865,NA,Lam.,pau de formiga
Dorstenia turnerifolia,NA,NA,accepted,GBIF:3762794,Dorstenia turnerifolia,species,accepted,GBIF:3762794,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Dorstenia,turnerifolia,NA,2984540,NA,Fisch. & C.A.Mey.,NA
Phoradendron crassifolium,NA,NA,accepted,GBIF:7772421,Phoradendron crassifolium,species,accepted,GBIF:7772421,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Phoradendron,crassifolium,NA,2889864,4068428,Eichler (Pohl ex DC.),NA
Pagamea plicata,NA,NA,accepted,GBIF:2902164,Pagamea plicata,species,accepted,GBIF:2902164,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Pagamea,plicata,NA,2902141,NA,Spruce ex Benth.,NA
Galactia striata,NA,NA,accepted,GBIF:2984047,Galactia striata,species,accepted,GBIF:2984047,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Galactia,striata,NA,2983979,5361742,Urb. (Jacq.),Guatabito
Achyrocline alata,NA,NA,accepted,GBIF:3139547,Achyrocline alata,species,accepted,GBIF:3139547,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achyrocline,alata,NA,3139525,NA,DC. (Kunth),macela do brejo
Coccocypselum lanceolatum,NA,NA,accepted,GBIF:2906930,Coccocypselum lanceolatum,species,accepted,GBIF:2906930,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Coccocypselum,lanceolatum,NA,2906871,5338306,Pers. (Ruiz & Pav.),piririca
Oldenlandia filicaulis,NA,NA,accepted,GBIF:2915856,Oldenlandia filicaulis,species,accepted,GBIF:2915856,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Oldenlandia,filicaulis,NA,2915706,NA,K.Schum.,NA
Bauhinia brevipes,NA,NA,accepted,GBIF:2953099,Bauhinia brevipes,species,accepted,GBIF:2953099,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,brevipes,NA,2952935,NA,Vogel,NA
Paspalum guttatum,NA,NA,accepted,GBIF:4110078,Paspalum guttatum,species,accepted,GBIF:4110078,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Paspalum,guttatum,NA,2705540,NA,Trin.,NA
Miconia minutiflora,NA,NA,accepted,GBIF:3860591,Miconia minutiflora,species,accepted,GBIF:3860591,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Miconia,minutiflora,NA,3188558,NA,NA,NA
Zanthoxylum rhoifolium,NA,NA,accepted,GBIF:7269222,Zanthoxylum rhoifolium,species,accepted,GBIF:7269222,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,rhoifolium,NA,3190076,NA,Lam.,tinguaciba
Ocotea velutina,NA,NA,accepted,GBIF:4181077,Ocotea velutina,species,accepted,GBIF:4181077,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Ocotea,velutina,NA,3034076,7304210,Rohwer (Nees),NA
Sweetia fruticosa,NA,NA,accepted,GBIF:5358234,Sweetia fruticosa,species,accepted,GBIF:5358234,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Sweetia,fruticosa,NA,8072780,NA,Spreng.,sucupira preta
Bauhinia cheilantha,NA,NA,accepted,GBIF:2952938,Bauhinia cheilantha,species,accepted,GBIF:2952938,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,cheilantha,NA,2952935,2952939,Steud. (Bong.),Unha de vaca
Senna pendula,NA,NA,accepted,GBIF:2957187,Senna pendula,species,accepted,GBIF:2957187,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Senna,pendula,NA,2956904,5354027,H.S.Irwin & Barneby (Humb. & Bonpl. ex Willd.),yerba del burro
Cecropia hololeuca,NA,NA,accepted,GBIF:4013377,Cecropia hololeuca,species,accepted,GBIF:4013377,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Cecropia,hololeuca,NA,2984472,NA,Miq.,embaubacu
Cordia glabrata,NA,NA,accepted,GBIF:8486453,Cordia glabrata,species,accepted,GBIF:8486453,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Cordiaceae,Cordia,glabrata,NA,2900865,4061419,A.DC. (Mart.),NA
Cynophalla flexuosa,NA,NA,accepted,GBIF:3873525,Cynophalla flexuosa,species,accepted,GBIF:3873525,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,Cynophalla,flexuosa,NA,6370797,6370749,J.Presl (L.),Yerba di Moster
Manihot caerulescens,NA,NA,accepted,GBIF:3060817,Manihot caerulescens,species,accepted,GBIF:3060817,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Manihot,caerulescens,NA,3060685,NA,Pohl,manicoba
Vitex polygama,NA,NA,accepted,GBIF:7309300,Vitex polygama,species,accepted,GBIF:7309300,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Vitex,polygama,NA,2925556,NA,Cham.,NA
Trichilia pallens,NA,NA,accepted,GBIF:3852312,Trichilia pallens,species,accepted,GBIF:3852312,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Trichilia,pallens,NA,3190490,NA,C.DC.,Baga De Morcego
Myrcia tomentosa,NA,NA,accepted,GBIF:3174416,Myrcia tomentosa,species,accepted,GBIF:3174416,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Myrcia,tomentosa,NA,3173889,5415683,DC. (Aubl.),NA
Zanthoxylum riedelianum,NA,NA,accepted,GBIF:3834649,Zanthoxylum riedelianum,species,accepted,GBIF:3834649,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,riedelianum,NA,3190076,NA,Engl.,white copal
Handroanthus serratifolius,NA,NA,accepted,GBIF:4092017,Handroanthus serratifolius,species,accepted,GBIF:4092017,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Handroanthus,serratifolius,NA,6401269,3172544,S.O.Grose (Vahl),Yellow Poui (Trinidad & Tobago)
Croton floribundus,NA,NA,accepted,GBIF:3057803,Croton floribundus,species,accepted,GBIF:3057803,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,floribundus,NA,3057454,NA,Spreng.,NA
Protium spruceanum,NA,NA,accepted,GBIF:3993127,Protium spruceanum,species,accepted,GBIF:3993127,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Burseraceae,Protium,spruceanum,NA,7286732,3993804,Engl. (Benth.),Quina
Cestrum schlechtendalii,NA,NA,accepted,GBIF:3801334,Cestrum schlechtendalii,species,accepted,GBIF:3801334,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Cestrum,schlechtendalii,NA,2928784,NA,G.Don,peroba dagua
Salvertia convallariodora,NA,NA,accepted,GBIF:4936059,Salvertia convallariodora,species,accepted,GBIF:4936059,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Vochysiaceae,Salvertia,convallariodora,NA,7288352,NA,A.St.-Hil.,folha larga
Machaerium villosum,NA,NA,accepted,GBIF:5354918,Machaerium villosum,species,accepted,GBIF:5354918,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Machaerium,villosum,NA,2959589,NA,Vogel,jacaranda preto
Iryanthera sagotiana,NA,NA,accepted,GBIF:3743777,Iryanthera sagotiana,species,accepted,GBIF:3743777,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,Iryanthera,sagotiana,NA,3743006,5564494,Warb. (Benth.),NA
