Record ID,Data Resource ID,Data Resource Name,Institution ID,Institution,Collection ID,Collection,Licence,Catalogue Number,Taxon Concept GUID,Scientific Name - original,Vernacular name - original,Scientific Name,Taxon Rank,Vernacular name,Kingdom,Phylum,Class,Order,Family,Genus,Species,Institution Code,Collection Code,Locality,Latitude - original,Longitude - original,Geodetic datum - original,Latitude,Longitude,Coordinate Uncertainty in Metres,Country - parsed,State - parsed,Minimum elevation in meters,Maximum elevation in meters,Minimum depth in meters,Maximum depth in meters,Individual count,Year,Month,Basis Of Record,Basis Of Record - original,Occurrence status,Sex,Taxonomic Quality,Location Quality,Collector,identified _ by,identified _ date,Record number,raw _ sampling _ protocol,event _ id,Occurrence status assumed to be present,Coordinates are out of range for species,Coordinates dont match supplied country,Country inferred from coordinates,Day and month transposed,Coordinates derived from verbatim coordinates,First of the century,First of the month,First of the year,Geodetic datum assumed WGS84,Identification date before occurrence date,Incomplete collection date,Invalid collection date,Invalid scientific name,Coordinates are transposed,Min and max altitude reversed,Name not in national checklists,Latitude is negated,Longitude is negated,Collector name unparseable,Supplied country not recognised,Type status not recognised,Supplied coordinates are zero,Zero latitude,Zero longitude,Name not recognised,Collection code not recognised,Institution code not recognised,Coordinate uncertainty not valid,Kingdom not recognised,Georeferenced after occurrence date,Unrecognized geodetic datum,Depth value non-numeric,Precision / range mismatch,Basis of record badly formed,Coordinate precision and uncertainty transposed
163ea702-1a6e-473c-ad89-4948fc2758fd,dr246,Base de dados do Herbário IAN,NA,NA,NA,NA,CC-BY-NC,82142,347072,Dryopteris opposita (Vahl) Urb. var. rivolorum,NA,Dryopteris,genus,NA,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,NA,IAN,NA,,0,0,NA,NA,NA,NA,NA,NA,0,660,NA,NA,NA,1930,03,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Mexia, Y",C; Chr,NA,4454,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
c6723db8-f11e-4b3d-80b0-9b25312ef606,dr234,Amostras Brasileiras repatriadas,NA,NA,NA,NA,CC-BY-NC,P02899613,364441,Lamiaceae Vitex capitata Vahl,NA,Lamiaceae,family,Menthes,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,NA,NA,MNHN,P,NA,NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,Gaudichaud;,NA,NA,181/bis,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
35332ca6-417d-40fe-825b-19c3071e9b22,dr236,Base de dados do Herbário do Departamento de Botânica da UFPR,in0,Universidade Federal do Paraná,co127,Herbário do Departamento de Botânica,CC-BY-NC,31678,301493,Erythrina goldmanii  Standley,NA,Erythrina,genus,Erythrina,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Erythrina,NA,UFPR,UPCB,"Chiapas. Mun. Tuxtla Gutierrez Em El Carmen, 13km al SW de Tuxtla Gtz.",NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1989,10,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Soto, J.C.","Soto, J.C.",1989-01-01,13287,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
a4333dbe-a83c-409f-a536-bd7486a09915,dr263,Base de dados do Herbário da Escol Superior de Agricultura Luiz de Queiroz,in51,Escola Superior de Agricultura Luiz de Queiroz,co142,Herbário da ESALQ,CC-BY-NC,111046,282128,Symplocos celastrinea,NA,Symplocos celastrinea,species,Congonha,Plantae,Tracheophyta,Magnoliopsida,Ericales,Symplocaceae,Symplocos,Symplocos celastrinea,ESALQ,ESA,NA,NA,NA,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,NA,NA,2001,03,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Castro, R.M.","Aranha, J.L.M.",NA,206,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
a1998531-ab55-495b-bcd1-38aebbd8916c,dr253,Base de dados do Herbário do Instituto de Biociências da Universidade Federal do Rio Grande do Sul,in56,Universidade Federal do Rio Grande do Sul,co133,Herbário do Instituto de Ciências Naturais da UFRGS,NA,191420,349258,Polypodium hirsutissimum Raddi,NA,Polypodium hirsutissimum,species,NA,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,Polypodium hirsutissimum,UFRGS,ICN,Ò_x0002_,0,0,NA,NA,NA,NA,NA,NA,-9999,0,NA,NA,NA,1993,05,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Kazmirczak, C","Kazmirczak, C",NA,9,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
10d02587-02e0-4c85-9ba0-648447519d25,dr262,Base de dados do Herbário Uberlandense,in68,Universidade Federal de Uberlândia,co141,Herbário Uberlandense,NA,36433,346490,Piptadenia gonoacantha,NA,Piptadenia gonoacantha,species,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Piptadenia,Piptadenia gonoacantha,UFU,HUFU,"Reservatório de Miranda, Cerca de 20 km do centro de Uberlândia.",0,0,NA,NA,NA,NA,NA,NA,-9999,0,NA,NA,NA,2004,02,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Santos, APM; Romero, R; Rosa, PO",NA,NA,286,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
c465ad70-0931-4947-b89c-11ef98107957,dr327,Base de dados do PortalBio do ICMBio: Sisbio-Dibio,NA,NA,NA,NA,CC-BY-NC,NA,289197,Cnidoscolus vitifolius,Sem Informações,Cnidoscolus vitifolius,species,NA,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Cnidoscolus,Cnidoscolus vitifolius,ICMBio,NA,Água Mineral Manaíra,-6965,-41678331,NA,-6965,-41678331,NA,NA,NA,NA,NA,NA,NA,5,2009,11,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,TRUE,Cledinaldo Borges Leal,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
c0672dd8-a417-4e52-b350-82b083c2e2b2,dr234,Amostras Brasileiras repatriadas,NA,NA,NA,NA,CC-BY-NC,P00635713,364603,Pontederiaceae Heteranthera reniformis Ruiz & Pav.,NA,Pontederiaceae,family,Water-hyacinth family,Plantae,Tracheophyta,Liliopsida,Commelinales,Pontederiaceae,NA,NA,MNHN,P,Province de Saint Paul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,Saint-Hilaire;,Saint-Hilaire,NA,C2-1268,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
619e3df7-1b27-4b26-a5f4-799691ce0286,dr324,Base de dados repatriados do tropicos.org,NA,NA,NA,NA,CC0,1217551,390153,Gonolobus hatschbachii Fontella & Valente,NA,Gonolobus hatschbachii,species,NA,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Gonolobus,Gonolobus hatschbachii,MO,MO,"Municipio Cerro Azul, Morro Grande, Da Mata da ecosta dos Morros",NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1959,10,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,Gert G. Hatschbach,NA,NA,Hatschbach 6399,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
ad73d33b-4f47-445a-bc84-bcc8397552d6,dr265,Observações de espécies publicadas no iNaturalist para o Brasil,NA,NA,NA,NA,CC0,NA,395630,Plantae,plantas,Plantae,kingdom,Plantas,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.213774,-46.361428,NA,-23.213774,-46.361428,NA,NA,NA,NA,NA,NA,NA,NA,2013,05,HumanObservation,HumanObservation,present,NA,TRUE,TRUE,rontavius,NA,NA,557,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
3a156871-1899-4950-8727-1bc158082e36,dr273,Coleção de  Samambaias e Licófitas do BHCB,NA,NA,NA,NA,CC-BY-NC 4.0 (Int),44377,349326,Serpocaulon latipes,NA,Serpocaulon latipes,species,NA,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Serpocaulon,Serpocaulon latipes,NA,BHCB-SL,"Reserva Florestal de Linhares, Estrada: Flamengo. Km 1,2.",NA,NA,NA,NA,NA,NA,NA,Espírito Santo  es,NA,NA,NA,NA,NA,1996,04,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,P.W.,"Salino, A",2010-08-01,7001,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
587d1247-b4e8-4a13-b121-6717f7f86273,dr242,Herbário do Museu Botânico Municipal de Curitiba - MBM,in41,Museu Botânico Municipal,co131,Herbário do MBM,NA,385561,350010,Matayba elaeagnoides Radlk.,NA,Matayba elaeagnoides,species,Cragoatum-branco,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Matayba,Matayba elaeagnoides,MBM,HMBM,H|_x0005_,-24.10056,-50.70694,NA,-24.10056,-50.70694,NA,NA,NA,520,750,NA,NA,NA,2011,11,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,TRUE,"Adenesky-Filho, E.","Bonaldi, R.A.",2011-01-01,s.n.,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a8cc67df-1c63-4830-9769-cb2ea5b6dbc6,dr246,Base de dados do Herbário IAN,NA,NA,NA,NA,CC-BY-NC,XILO3032,303944,Trichilia micrantha Benth.,NA,Trichilia micrantha,species,Jitó branco,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Trichilia,Trichilia micrantha,IAN,NA,ìW,0,0,NA,NA,NA,NA,NA,NA,-9999,0,NA,NA,NA,1968,05,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,"Pires, JM; Silva, NT da",NA,NA,11665,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA
792bc66f-de36-4384-a449-717e084a55c6,dr325,Herbário Professor Vasconcelos Sobrinho,in75,Universidade Federal Rural de Pernambuco,co176,Herbário Professor Vasconcelos Sobrinho,CC-BY-NC 4.0 (Int),18246,289653,Sapium glandulosum,NA,Sapium glandulosum,species,Seringarana,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Sapium,Sapium glandulosum,UFRPE,PEUFR,Socavão,NA,NA,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,NA,NA,1994,04,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,L.P. Félix; M. de Paula,V. Santos,2000-12-20,6487,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
ebef8d85-72da-4c9a-8cea-dad5e23850fd,dr324,Base de dados repatriados do tropicos.org,NA,NA,NA,NA,CC0,3185232,301406,Desmodium leiocarpum (Spreng.) G.Don,NA,Desmodium leiocarpum,species,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,Desmodium leiocarpum,MO,MO,"Occasional. Campo and gallery forest, Riberao Torto, near Sobradinho,",NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,Howard S. Irwin|R. Souza|R. Reis dos Santos,J. Grimes 90,NA,Irwin 11405,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
066c5217-6e3b-4769-a1c4-eae3e7409798,dr224,CNCFlora - Livro Vermelho 2013 - Ocorrências,NA,NA,NA,NA,CC0,IPA49872,285081,Conocliniopsis prasiifolia,NA,Conocliniopsis prasiifolia,species,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Conocliniopsis,Conocliniopsis prasiifolia,CNCFlora,IPA,NA,-8.631128,-41.057183,NA,-8.631128,-41.057183,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,Occurrence,present,NA,TRUE,TRUE,Rita Pereira,Rita Pereira,NA,IPA49872HJ,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA
b1fecef4-e181-45d7-b38f-bc5cad9e160c,dr232,Amostras brasileiras new york,NA,NA,NA,NA,CC-BY-NC,NY00868302,364195,Araliaceae Schefflera sprucei (Seem.) Harms,NA,Araliaceae,family,Ginseng,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,NA,NA,NY,NY,Rio Moa between Cachoeira Grande and Serra da Moa village,-754.999.999.999.999.000,#FIELD!,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1971,04,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,G. T. Prance;,D. G. Frodin,1992-01-01,12632,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
c5f2e01a-927b-4848-b389-cbe966306ddc,dr392,Amostras de plantas repatriadas do Meise Botanic Garden da Bélgica,NA,NA,NA,NA,CC-BY-NC,BR0000008396402,286498,Chamaecrista flexuosa Greene,NA,Chamaecrista flexuosa,species,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista flexuosa,BR,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,preservedSpecimen,present,NA,TRUE,NA,Glaziou A.,NA,NA,3792,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA
369db793-3db2-419a-a1de-a298f20e77b0,dr385,Base de dados de ocorrencias da cwrdiversity,NA,NA,NA,NA,CC0,2455450,339649,Ficus cuatrecasana Dugand,NA,Ficus,genus,NA,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,NA,Bioversity,NA,Brasil.,NA,NA,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,occurrence,present,NA,TRUE,NA,NA,NA,NA,294177,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,TRUE,FALSE
2f80860f-db79-4be1-b41c-dde5dea51fac,dr232,Amostras brasileiras new york,NA,NA,NA,NA,CC-BY-NC,NY01921540,364595,Podostemaceae Rhyncholacis,NA,Podostemaceae,family,Angiospermas,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Podostemaceae,NA,NA,NY,NY,Cachoeira Porteira,-109.194.444.444.444.000,-57.036.944.444.444.400,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,NA,NA,1980,06,PreservedSpecimen,PreservedSpecimen,present,NA,TRUE,NA,C. Davidson;,C. T. Philbrick,2005-01-01,10354,NA,NA,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
